StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ConsentForm,DateofConsent,Prolific,AttentionCheck1,Rewrite1,Interpretation1,Confidence1,IsTrue1,Remove1,Rewrite2,Interpretation2,Confidence2,IsTrue2,Remove2,Rewrite3,Interpretation3,Confidence3,IsTrue3,Remove3,Rewrite4,Interpretation4,Confidence4,IsTrue4,Remove4,Rewrite5,Interpretation5,Confidence5,IsTrue5,Remove5,Rewrite6,Interpretation6,Confidence6,IsTrue6,Remove6,Rewrite7,Interpretation7,Confidence7,IsTrue7,Remove7,Rewrite8,Interpretation8,Confidence8,IsTrue8,Remove8,Rewrite9,Interpretation9,Confidence9,IsTrue9,Remove9,Rewrite10,Interpretation10,Confidence10,IsTrue10,Remove10,Rewrite11,Interpretation11,Confidence11,IsTrue11,Remove11,Rewrite12,Interpretation12,Confidence12,IsTrue12,Remove12,Rewrite13,Interpretation13,Confidence13,IsTrue13,Remove13,Rewrite14,Interpretation14,Confidence14,IsTrue14,Remove14,Rewrite15,Interpretation15,Confidence15,IsTrue15,Remove15,Rewrite16,Interpretation16,Confidence16,IsTrue16,Remove16,Rewrite17,Interpretation17,Confidence17,IsTrue17,Remove17,Rewrite18,Interpretation18,Confidence18,IsTrue18,Remove18,Rewrite19,Interpreation19,Confidence19,IsTrue19,Remove19,Rewrite20,Interpretation20,Confidence20,IsTrue20,Remove20,Police1,Police2,Police3,Gender,Age,Race,Country,NativeLanguage,ExposedtoEng,OtherLanguages,EngFrequency,PotentialConflicts,PotentialConflicts_1_TEXT,Seriousness,QuietEnvironment,Distracted,CommentFeedback,CommentFeedback,PROLIFIC_PID
2/16/2025 17:43:23,2/16/2025 17:50:50,IP Address,96.33.160.178,100,446,True,2/16/2025 17:50:51,R_6EI3K4CPCnYDG13,,,,,42.1245,-72.4464,anonymous,EN,I consent to do this experiment.,02/16/2025,6690c433c8bedd2996d7f973,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A shelter with good conditions is a necessity and people should not be denied refuge.,The right of individuals to seek and maintain refuge should not be denied only in those specific cases when a well-insulated shelter is necessary for the survival of stranded travelers.,Extremely confident,The right of individuals to seek and maintain refuge should not be denied only in cases when well-insulated shelters are absolutely essential for the survival of stranded travelers.,Somewhat similar implications,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The novelist illegally used a picture that the photographer took,Female,18,"White or Caucasian,Other",USA,English,0,N/A,100%,No,,"Yes, I did",Yes,No,NA,NA,6690c433c8bedd2996d7f973
2/16/2025 17:44:03,2/16/2025 17:55:05,IP Address,174.228.160.251,100,662,True,2/16/2025 17:55:06,R_7y2U8mWgPKOT1Bf,,,,,28.53,-81.4807,anonymous,EN,I consent to do this experiment.,02/16/2025,5b26da1934ffd00001b45d8d,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It is important to ensure that communities have access to clean water through a well-maintained distribution system, and they should not be prohibited from using this vital resource.",The right of communities to access and utilize water resources should not be denied only in those specific cases when a regularly checked aqueduct is necessary for the delivery of clean water.,Fairly confident,The right of communities to access and utilize water resources should not be denied even if regularly checked aqueducts are not crucial for the delivery of clean water.,Somewhat different implications,,,,,,Novelist,Take someone to the police station,The novelist illegally used a picture that the photographer took,Male,40,White or Caucasian,USA,English,0,I don't speak any other language,100%,No,,"Yes, I did",Yes,No,NA,NA,5b26da1934ffd00001b45d8d
2/16/2025 17:51:01,2/16/2025 17:56:03,IP Address,76.228.106.188,100,301,True,2/16/2025 17:56:03,R_6a0GV7Ym3EkQKit,,,,,35.8677,-86.4174,anonymous,EN,I consent to do this experiment.,02/16/2025,674b71f1c045ef7f014cc567,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scientists need to know how to use a telescope to do their job.,"Well-calibrated telescopes are always necessary for advancing astronomical research. Therefore, the ability of scientists to observe and document celestial bodies must never be impeded.",Fairly confident,The ability of scientists to observe and document celestial bodies must not be impeded only in cases when well-calibrated telescopes are absolutely essential for advancing astronomical research.,Somewhat different implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Female,32,White or Caucasian,USA,English,0,None,100%,No,,"Yes, I did",Yes,No,NA,NA,674b71f1c045ef7f014cc567
2/16/2025 18:43:44,2/16/2025 18:47:44,IP Address,134.197.0.151,100,240,True,2/16/2025 18:47:45,R_5PYKkN4jYUox9pT,,,,,39.5381,-119.8365,anonymous,EN,I consent to do this experiment.,"Feb 16, 2025",66908468a367218ba2c439be,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bee hive owners have the right to take care of and harvest from their beehives.,"Regularly cleaned beehives are always necessary for the production of high-quality honey. Therefore, the right of hive-owners to maintain and harvest colonies must never be restricted.",Neutral,The right of hive-owners to maintain and harvest colonies must not be restricted only in cases when regularly cleaned beehives are absolutely essential for the production of high-quality honey.,Same implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Male,20,Asian,USA,English,0,N/A,N/A,No,,"Yes, I did",Yes,Yes,NA,NA,66908468a367218ba2c439be
2/16/2025 18:42:41,2/16/2025 18:47:55,IP Address,74.69.6.82,100,314,True,2/16/2025 18:47:55,R_1Lhhs0130zePlbs,,,,,42.8656,-73.7709,anonymous,EN,I consent to do this experiment.,02/16/2025,63d3fa2d13e1ebedf2f56806,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The community needs to have access to the local weather station, as it alerts them to dangerous storms. ","Consistently monitored weather stations are always necessary for the prediction of dangerous storms. Therefore, the right of communities to access vital weather information must never be restricted.",Very confident,The right of communities to access vital weather information must not be restricted even if consistently monitored weather stations are not crucial for the prediction of dangerous storms.,Somewhat different implications,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Female,31,White or Caucasian,USA,English,0,None,100%,No,,"Yes, I did",Yes,No,NA,NA,63d3fa2d13e1ebedf2f56806
2/16/2025 18:43:45,2/16/2025 18:49:09,IP Address,68.57.51.161,100,324,True,2/16/2025 18:49:10,R_1N9YgUUuXBOI3oo,,,,,37.0634,-88.6632,anonymous,EN,I consent to do this experiment.,02/16/2025,67ad37d36b528753a6c432bc,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Students’ access to education within our library must not be restricted. ,"Well-organized libraries are always necessary for the education of eager students. Therefore, the right of learners to access and study materials must never be restricted.",Somewhat confident,The right of learners to access and study materials must not be restricted only in cases when well-organized libraries are absolutely essential for student education.,Somewhat similar implications,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Female,30,White or Caucasian,USA,English,0,N/A,100%,No,,"Yes, I did",Yes,No,NA,NA,67ad37d36b528753a6c432bc
2/16/2025 18:44:02,2/16/2025 18:49:34,IP Address,67.169.145.104,100,331,True,2/16/2025 18:49:34,R_3btvNgOMCuzFeMh,,,,,37.0313,-122.1198,anonymous,EN,I consent to do this experiment.,2/16/25,668595376c76d39676d95d54,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A busy road used for travel and trade should not be obstructed.,"Well-paved roads are always necessary for trade and travel. Therefore, the ability of merchants and travelers to move goods should never be obstructed.",Somewhat confident,The ability of merchants and travelers to move goods should not be obstructed even if well-paved roads are not crucial for trade and travel.,Somewhat similar implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Nonbinary,25,Prefer not to say,USA,Spanish,2,None,90%,No,,"Yes, I did",Yes,No,NA,NA,668595376c76d39676d95d54
2/16/2025 18:46:22,2/16/2025 18:49:59,IP Address,50.40.120.92,100,217,True,2/16/2025 18:50:00,R_5ifY8iaaW0X0IvM,,,,,39.0394,-89.9673,anonymous,EN,I consent to do this experiment.,02/16/2025,65ca25d9495bbd05f7fbfb6c,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,People should have access to and the ability to use a sundial.  ,The ability of people to measure and track time should not be interfered with only in those specific cases when a precisely calibrated sundial is necessary for timekeeping.,Fairly confident,The ability of people to measure and track time should not be interfered with only in cases when precisely calibrated sundials are at least somewhat important for timekeeping.,Very different implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Male,32,White or Caucasian,USA,English,0,None,100%,No,,"Yes, I did",Yes,No,NA,NA,65ca25d9495bbd05f7fbfb6c
2/16/2025 18:43:21,2/16/2025 18:50:42,IP Address,76.34.17.106,100,440,True,2/16/2025 18:50:42,R_1sjOuQ29ZKItoAL,,,,,37.9668,-87.4912,anonymous,EN,I consent to do this experiment.,02/16/2025,67876285103f57f54f701beb,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"It's absolutely vital for meteorologists to be able to monitor weather conditions, so the careful placement of weathervanes is crucial.","Carefully placed weathervanes are always necessary for the prediction of shifting winds. Therefore, the ability of meteorologists to monitor weather conditions should never be constrained.",Somewhat confident,The ability of meteorologists to monitor weather conditions should not be constrained even if carefully placed weathervanes are not crucial for the prediction of shifting winds.,Somewhat different implications,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Male,29,White or Caucasian,USA,English ,0,I only speak English ,100%,No,,"Yes, I did",Yes,No,NA,NA,67876285103f57f54f701beb
2/16/2025 18:44:06,2/16/2025 18:50:45,IP Address,137.83.94.97,100,398,True,2/16/2025 18:50:45,R_3I74H65vvEmJJZP,,,,,39.9422,-104.7854,anonymous,EN,I consent to do this experiment.,2/16/25,65f32fe30e71cd7be2d01508,Interpreting the meaning of sentences,,,,,,,,,,,,,,,,The cultural tradition of passing down knowledge fosters unity in the community and will not be erased. ,"Respected cultural traditions are always necessary for fostering unity within a community. Therefore, the right of elders to pass down and share knowledge will never be erased.",Fairly confident,The right of elders to pass down and share knowledge will not be erased even if respected cultural traditions are not crucial for fostering unity within a community.,Somewhat similar implications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Novelist,Take someone to the police station,The photographer stole a book that the novelist wrote,Female,28,White or Caucasian,USA,English ,0,0,100%,No,,"Yes, I did",Yes,No,Na,Na,65f32fe30e71cd7be2d01508
