"sentence_id","prolific_study_id","prolific_session_id","rewrite_first","start_time","device_type","user_agent","fullscreen_entered","device_self_report","captcha_response","captcha_pass","spr1_rts","spr1_mean_rt","spr1_min_rt","spr1_understood","spr2_rts","spr2_mean_rt","spr2_min_rt","spr2_understood","consent","date_of_consent","prolific_pid","attn1","attn1_pass","rewrite","addcommas","interpretation","confidence","remove","and","comma_3v2","comma_3v1","comma_2v1","distinguish","police1","police2","police3","gender","age","race","country","native_language","english_exposure_age","other_languages","english_frequency","potential_conflicts","potential_conflicts_explain","gun_control","ai_usage","seriousness","quiet_environment","distracted","feedback_procedure","feedback_other","end_time","total_duration_ms","page_timestamps","screen_width","screen_height","istrue","attn1_retry","attn1_retry_pass","source_file","subject","being","right","must","full_sentence","no_prefix_sentence"
1,NA,NA,"false","2026-02-19T23:19:18.642Z","desktop","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","yes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2/19/2026","TEST",3,"true","A well kept-archive must not be infringed.","A well-kept archive being necessary for historical preservation the right of people to access and manage records must not be infringed.",1,7,7,7,2,2,3,2,2,2,1,1,28,"1",1,"English","TEST","TEST","TEST",2,NA,3,2,1,1,2,NA,NA,"2026-02-19T23:24:09.655Z",292359,"[{""p"":0,""t"":1771543158642},{""p"":1,""t"":1771543164644},{""p"":2,""t"":1771543167406},{""p"":3,""t"":1771543168540},{""p"":4,""t"":1771543170897},{""p"":5,""t"":1771543171923},{""p"":6,""t"":1771543175254},{""p"":7,""t"":1771543182384},{""p"":8,""t"":1771543182384},{""p"":9,""t"":1771543183719},{""p"":10,""t"":1771543183719},{""p"":11,""t"":1771543184647},{""p"":12,""t"":1771543192015},{""p"":13,""t"":1771543281287},{""p"":14,""t"":1771543336412},{""p"":15,""t"":1771543347714},{""p"":16,""t"":1771543355448},{""p"":17,""t"":1771543362768},{""p"":18,""t"":1771543374794},{""p"":19,""t"":1771543382335},{""p"":20,""t"":1771543389693},{""p"":21,""t"":1771543396867},{""p"":22,""t"":1771543405397},{""p"":23,""t"":1771543406796},{""p"":24,""t"":1771543414230},{""p"":25,""t"":1771543415355},{""p"":26,""t"":1771543420202},{""p"":27,""t"":1771543423184},{""p"":28,""t"":1771543425291},{""p"":29,""t"":1771543432538},{""p"":30,""t"":1771543435639},{""p"":31,""t"":1771543439017},{""p"":32,""t"":1771543440875},{""p"":33,""t"":1771543445250},{""p"":34,""t"":1771543448859}]",1440,900,1,NA,NA,"data_SA_E1A_TEST_SESSION_2026-02-19_15h24.09.657.csv","A well-kept archive","being necessary for historical preservation","the right of people to access and manage records","must not be infringed","A well-kept archive, being necessary for historical preservation, the right of people to access and manage records, must not be infringed.","The right of people to access and manage records, must not be infringed."
2,"6998be54d68d58b628b0dc10","69cca864fe2c74351031ceab","true","2026-04-01T05:09:02.278Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","yes",1,"q","true","547;493;637;755;515;524;496;570;503;499;522;549",551,493,1,"615;485;528;371;509;584;425;372;398;458;376;532",471,371,1,1,"4/1/2026","695f9e1ac4ae21f2fbffdd83",3,"true","it is important for a community to be as one in order to respect its tradition. You must not disregard people who pass down and share their knowledge.","A respected cultural tradition being necessary, for fostering unity within a community, the right of people to pass down and share knowledge must not be infringed.",2,6,3,2,2,2,2,2,2,2,1,2,50,"1",1,"english","1","none","100%",2,NA,1,2,4,1,2,NA,NA,"2026-04-01T05:20:10.613Z",670057,"[{""p"":0,""t"":1775020142306},{""p"":1,""t"":1775020145313},{""p"":2,""t"":1775020154822},{""p"":3,""t"":1775020159044},{""p"":4,""t"":1775020173130},{""p"":5,""t"":1775020184178},{""p"":6,""t"":1775020188510},{""p"":7,""t"":1775020205411},{""p"":8,""t"":1775020213748},{""p"":9,""t"":1775020215780},{""p"":10,""t"":1775020221665},{""p"":11,""t"":1775020229565},{""p"":12,""t"":1775020231546},{""p"":13,""t"":1775020232554},{""p"":14,""t"":1775020240714},{""p"":15,""t"":1775020240714},{""p"":16,""t"":1775020245287},{""p"":17,""t"":1775020245287},{""p"":18,""t"":1775020246724},{""p"":19,""t"":1775020260173},{""p"":20,""t"":1775020361637},{""p"":21,""t"":1775020416796},{""p"":22,""t"":1775020436296},{""p"":23,""t"":1775020436296},{""p"":24,""t"":1775020482140},{""p"":25,""t"":1775020497976},{""p"":26,""t"":1775020526927},{""p"":27,""t"":1775020671158},{""p"":28,""t"":1775020679686},{""p"":29,""t"":1775020720924},{""p"":30,""t"":1775020722275},{""p"":31,""t"":1775020743920},{""p"":32,""t"":1775020747017},{""p"":33,""t"":1775020752283},{""p"":34,""t"":1775020753805},{""p"":35,""t"":1775020755138},{""p"":36,""t"":1775020774782},{""p"":37,""t"":1775020782109},{""p"":38,""t"":1775020787220},{""p"":39,""t"":1775020792187},{""p"":40,""t"":1775020801201},{""p"":41,""t"":1775020807644}]",1536,864,NA,NA,NA,"data_SA_E1A_695f9e1ac4ae21f2fbffdd83_SESSION_2026-04-01_01h20.10.616.csv","A respected cultural tradition","being necessary for fostering unity within a community","the right of people to pass down and share knowledge","must not be infringed","A respected cultural tradition, being necessary for fostering unity within a community, the right of people to pass down and share knowledge, must not be infringed.","The right of people to pass down and share knowledge, must not be infringed."
2,"6998be54d68d58b628b0dc10","699a104cdbcb13e97515e521","true","2026-02-21T20:06:48.014Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","yes",1,"q","true","709;620;465;307;487;197;309;219;153;176;174;224",337,153,1,"933;329;309;265;196;352;353;307;243;220;332;309",346,196,1,1,"2/21/2026","5b9845dfae52a00001482c02",3,"true","A tradition that is well respected that keeps people united in a community, and the right of freedom of information shouldn't never be infringed.","A respected cultural tradition, being necessary for fostering unity within a community, the right of people to pass down and share knowledge must not be infringed.",1,6,3,5,2,2,2,2,2,2,1,1,40,"1",1,"English","0","Just english","100",2,NA,2,2,4,1,2,NA,NA,"2026-02-21T20:13:44.694Z",417765,"[{""p"":0,""t"":1771704408020},{""p"":1,""t"":1771704409886},{""p"":2,""t"":1771704421494},{""p"":3,""t"":1771704424438},{""p"":4,""t"":1771704433158},{""p"":5,""t"":1771704435042},{""p"":6,""t"":1771704442830},{""p"":7,""t"":1771704444694},{""p"":8,""t"":1771704446062},{""p"":9,""t"":1771704452590},{""p"":10,""t"":1771704454238},{""p"":11,""t"":1771704455682},{""p"":12,""t"":1771704517106},{""p"":13,""t"":1771704517106},{""p"":14,""t"":1771704519330},{""p"":15,""t"":1771704519330},{""p"":16,""t"":1771704526450},{""p"":17,""t"":1771704541986},{""p"":18,""t"":1771704580426},{""p"":19,""t"":1771704604210},{""p"":20,""t"":1771704616082},{""p"":21,""t"":1771704630334},{""p"":22,""t"":1771704638026},{""p"":23,""t"":1771704662606},{""p"":24,""t"":1771704675453},{""p"":25,""t"":1771704683070},{""p"":26,""t"":1771704690442},{""p"":27,""t"":1771704700405},{""p"":28,""t"":1771704701469},{""p"":29,""t"":1771704726198},{""p"":30,""t"":1771704727394},{""p"":31,""t"":1771704731486},{""p"":32,""t"":1771704733746},{""p"":33,""t"":1771704735726},{""p"":34,""t"":1771704755402},{""p"":35,""t"":1771704761994},{""p"":36,""t"":1771704765766},{""p"":37,""t"":1771704804229},{""p"":38,""t"":1771704812061},{""p"":39,""t"":1771704822545}]",3840,2160,3,NA,NA,"data_SA_E1A_5b9845dfae52a00001482c02_SESSION_2026-02-21_15h13.44.695.csv","A respected cultural tradition","being necessary for fostering unity within a community","the right of people to pass down and share knowledge","must not be infringed","A respected cultural tradition, being necessary for fostering unity within a community, the right of people to pass down and share knowledge, must not be infringed.","The right of people to pass down and share knowledge, must not be infringed."
2,"6998be54d68d58b628b0dc10","69cca927190ea9a3d2580633","false","2026-04-01T05:18:43.492Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","yes",1,"q","true","1759;4923;1139;1012;882;662;786;709;770;793;747;1296",1290,662,1,"678;719;811;591;594;598;557;532;1058;832;796;1831",800,532,1,1,"4/1/2026","69c55b66d8ade7f9bd6109d6",3,"true","Since cultural traditions help keep communities together, people must always be allowed  to share their knowledge and pass it on to others.","A respected cultural tradition, being necessary for fostering unity within a community, the right of people to pass down and share knowledge, must not be infringed.",2,6,2,7,1,1,1,2,2,2,1,1,30,"2",1,"English","0","N/A","N/A",2,NA,1,2,4,1,2,"N/A","N/A","2026-04-01T05:32:57.932Z",857638,"[{""p"":0,""t"":1775020723494},{""p"":1,""t"":1775020735302},{""p"":2,""t"":1775020740597},{""p"":3,""t"":1775020758477},{""p"":4,""t"":1775020760890},{""p"":5,""t"":1775020799649},{""p"":6,""t"":1775020802644},{""p"":7,""t"":1775020822438},{""p"":8,""t"":1775020835093},{""p"":9,""t"":1775020837989},{""p"":10,""t"":1775020841220},{""p"":11,""t"":1775020844866},{""p"":12,""t"":1775020847869},{""p"":13,""t"":1775020851595},{""p"":14,""t"":1775020863063},{""p"":15,""t"":1775020863063},{""p"":16,""t"":1775020867615},{""p"":17,""t"":1775020867616},{""p"":18,""t"":1775020870221},{""p"":19,""t"":1775020924663},{""p"":20,""t"":1775020994123},{""p"":21,""t"":1775021102172},{""p"":22,""t"":1775021149018},{""p"":23,""t"":1775021149018},{""p"":24,""t"":1775021185722},{""p"":25,""t"":1775021220028},{""p"":26,""t"":1775021263159},{""p"":27,""t"":1775021297089},{""p"":28,""t"":1775021335870},{""p"":29,""t"":1775021369236},{""p"":30,""t"":1775021371892},{""p"":31,""t"":1775021431449},{""p"":32,""t"":1775021434556},{""p"":33,""t"":1775021441677},{""p"":34,""t"":1775021445578},{""p"":35,""t"":1775021449999},{""p"":36,""t"":1775021516238},{""p"":37,""t"":1775021524741},{""p"":38,""t"":1775021535678},{""p"":39,""t"":1775021540923},{""p"":40,""t"":1775021553519},{""p"":41,""t"":1775021573083}]",1536,864,NA,NA,NA,"data_SA_E1A_69c55b66d8ade7f9bd6109d6_SESSION_2026-04-01_01h32.57.936.csv","A respected cultural tradition","being necessary for fostering unity within a community","the right of people to pass down and share knowledge","must not be infringed","A respected cultural tradition, being necessary for fostering unity within a community, the right of people to pass down and share knowledge, must not be infringed.","The right of people to pass down and share knowledge, must not be infringed."
2,"6998be54d68d58b628b0dc10","699a0bcf63123d70f8416dfe","true","2026-02-21T19:49:09.861Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36","yes",1,"q","true","1051;1251;887;935;903;614;674;623;548;574;588;539",766,539,1,"1124;530;517;420;461;529;529;492;428;490;798;1545",655,420,1,1,"2/21/2026","69829bc1224b28f0538900d5",3,"true","You cant mess with a groups culture or identity so it can continued to be taught to generation after generation.","A respected cultural tradition, being necessary for fostering unity within a community, the right of people to pass down and share knowledge, must not be infringed.",2,6,5,5,1,1,1,1,2,2,1,1,44,"1",1,"english","0","none","100%",2,NA,3,2,4,1,2,"The attention questions were kind of weird.",NA,"2026-02-21T20:05:06.846Z",959243,"[{""p"":0,""t"":1771703349876},{""p"":1,""t"":1771703353858},{""p"":2,""t"":1771703358616},{""p"":3,""t"":1771703364648},{""p"":4,""t"":1771703382022},{""p"":5,""t"":1771703385193},{""p"":6,""t"":1771703399367},{""p"":7,""t"":1771703401759},{""p"":8,""t"":1771703406566},{""p"":9,""t"":1771703415295},{""p"":10,""t"":1771703416744},{""p"":11,""t"":1771703418064},{""p"":12,""t"":1771703426039},{""p"":13,""t"":1771703426039},{""p"":14,""t"":1771703434246},{""p"":15,""t"":1771703434246},{""p"":16,""t"":1771703435566},{""p"":17,""t"":1771703448134},{""p"":18,""t"":1771703490533},{""p"":19,""t"":1771703545861},{""p"":20,""t"":1771703831063},{""p"":21,""t"":1771703831063},{""p"":22,""t"":1771703848958},{""p"":23,""t"":1771703978684},{""p"":24,""t"":1771704067827},{""p"":25,""t"":1771704091104},{""p"":26,""t"":1771704106065},{""p"":27,""t"":1771704130489},{""p"":28,""t"":1771704132737},{""p"":29,""t"":1771704208143},{""p"":30,""t"":1771704209950},{""p"":31,""t"":1771704214622},{""p"":32,""t"":1771704218231},{""p"":33,""t"":1771704220119},{""p"":34,""t"":1771704261741},{""p"":35,""t"":1771704266166},{""p"":36,""t"":1771704274559},{""p"":37,""t"":1771704277766},{""p"":38,""t"":1771704287590},{""p"":39,""t"":1771704305253}]",1536,864,NA,NA,NA,"data_SA_E1A_69829bc1224b28f0538900d5_SESSION_2026-02-21_14h05.06.847.csv","A respected cultural tradition","being necessary for fostering unity within a community","the right of people to pass down and share knowledge","must not be infringed","A respected cultural tradition, being necessary for fostering unity within a community, the right of people to pass down and share knowledge, must not be infringed.","The right of people to pass down and share knowledge, must not be infringed."
2,"6998be54d68d58b628b0dc10","699a0af90260332abec7e27d","true","2026-02-21T19:44:04.334Z","desktop","Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36","yes",1,"q","true","3319;675;878;1151;803;1500;640;1022;714;766;1226;1624",1193,640,1,"1596;630;861;852;1247;1234;418;498;1504;1445;783;1485",1046,418,1,1,"2/21/2026","60fd39703a387e7cfb6893b7",3,"true","The right of people to pass down and share knowledge, which is a respected cultural tradition, is necessary for fostering unity within a community, so it must not be infringed.","A respected cultural tradition, being necessary for fostering unity within a community, the right of people to pass down and share knowledge, must not be infringed.",2,5,3,5,2,2,2,1,2,2,1,2,49,"1",1,"English","0","None","100%",2,NA,1,2,4,1,2,NA,NA,"2026-02-21T19:54:07.807Z",604928,"[{""p"":0,""t"":1771703044356},{""p"":1,""t"":1771703047244},{""p"":2,""t"":1771703053978},{""p"":3,""t"":1771703063854},{""p"":4,""t"":1771703087503},{""p"":5,""t"":1771703090250},{""p"":6,""t"":1771703106234},{""p"":7,""t"":1771703108515},{""p"":8,""t"":1771703112160},{""p"":9,""t"":1771703120845},{""p"":10,""t"":1771703123137},{""p"":11,""t"":1771703124531},{""p"":12,""t"":1771703132327},{""p"":13,""t"":1771703132327},{""p"":14,""t"":1771703140223},{""p"":15,""t"":1771703140223},{""p"":16,""t"":1771703141687},{""p"":17,""t"":1771703173096},{""p"":18,""t"":1771703248523},{""p"":19,""t"":1771703286277},{""p"":20,""t"":1771703322562},{""p"":21,""t"":1771703322562},{""p"":22,""t"":1771703345359},{""p"":23,""t"":1771703368166},{""p"":24,""t"":1771703419687},{""p"":25,""t"":1771703464407},{""p"":26,""t"":1771703482555},{""p"":27,""t"":1771703528942},{""p"":28,""t"":1771703530467},{""p"":29,""t"":1771703573686},{""p"":30,""t"":1771703575545},{""p"":31,""t"":1771703580636},{""p"":32,""t"":1771703583123},{""p"":33,""t"":1771703586020},{""p"":34,""t"":1771703606391},{""p"":35,""t"":1771703610026},{""p"":36,""t"":1771703615347},{""p"":37,""t"":1771703618145},{""p"":38,""t"":1771703629415},{""p"":39,""t"":1771703640888}]",1280,720,NA,NA,NA,"data_SA_E1A_60fd39703a387e7cfb6893b7_SESSION_2026-02-21_14h54.07.809.csv","A respected cultural tradition","being necessary for fostering unity within a community","the right of people to pass down and share knowledge","must not be infringed","A respected cultural tradition, being necessary for fostering unity within a community, the right of people to pass down and share knowledge, must not be infringed.","The right of people to pass down and share knowledge, must not be infringed."
2,"6998be54d68d58b628b0dc10","699a08c90f287443f66d0303","true","2026-02-21T19:34:42.045Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","yes",1,"q","true","1505;1408;384;759;1527;344;369;481;392;856;352;1768",845,344,1,"670;353;384;224;320;239;1520;305;176;159;570;2136",588,159,1,1,"2/21/2026","5c439193f114f2000195658e",3,"true","Cultural traditions, which people have and share within their communities, should not be stopped.","A respected cultural tradition, being necessary for fostering unity within a community, the right of people to pass down and share knowledge, must not be infringed.",3,6,2,5,2,2,2,1,2,2,1,1,44,"1",1,"English","0","Spanish - Age 12, do not use it hardly at all.","100",2,NA,4,2,4,1,2,"na","na","2026-02-21T19:43:19.577Z",518566,"[{""p"":0,""t"":1771702482060},{""p"":1,""t"":1771702484450},{""p"":2,""t"":1771702487817},{""p"":3,""t"":1771702493338},{""p"":4,""t"":1771702508834},{""p"":5,""t"":1771702510699},{""p"":6,""t"":1771702522266},{""p"":7,""t"":1771702524170},{""p"":8,""t"":1771702526082},{""p"":9,""t"":1771702530738},{""p"":10,""t"":1771702532330},{""p"":11,""t"":1771702533465},{""p"":12,""t"":1771702544010},{""p"":13,""t"":1771702544010},{""p"":14,""t"":1771702548490},{""p"":15,""t"":1771702548490},{""p"":16,""t"":1771702549498},{""p"":17,""t"":1771702562602},{""p"":18,""t"":1771702618354},{""p"":19,""t"":1771702658410},{""p"":20,""t"":1771702678394},{""p"":21,""t"":1771702692698},{""p"":22,""t"":1771702715986},{""p"":23,""t"":1771702751738},{""p"":24,""t"":1771702779434},{""p"":25,""t"":1771702793865},{""p"":26,""t"":1771702820227},{""p"":27,""t"":1771702838738},{""p"":28,""t"":1771702840162},{""p"":29,""t"":1771702863546},{""p"":30,""t"":1771702865706},{""p"":31,""t"":1771702869250},{""p"":32,""t"":1771702871114},{""p"":33,""t"":1771702872922},{""p"":34,""t"":1771702903074},{""p"":35,""t"":1771702973258},{""p"":36,""t"":1771702980402},{""p"":37,""t"":1771702983394},{""p"":38,""t"":1771702989666},{""p"":39,""t"":1771702994594}]",1920,1080,1,NA,NA,"data_SA_E1A_5c439193f114f2000195658e_SESSION_2026-02-21_14h43.19.579.csv","A respected cultural tradition","being necessary for fostering unity within a community","the right of people to pass down and share knowledge","must not be infringed","A respected cultural tradition, being necessary for fostering unity within a community, the right of people to pass down and share knowledge, must not be infringed.","The right of people to pass down and share knowledge, must not be infringed."
2,"6998be54d68d58b628b0dc10","699a2aeb99aa6805e3d5d0d9","true","2026-02-21T22:00:23.285Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36","yes",1,"q","true","1784;641;512;745;452;348;404;433;777;426;430;431",615,348,1,"600;1031;547;468;465;574;548;382;423;455;424;451",531,382,1,1,"2/21/2026","607a7b7d300ce256f51706bd",3,"true","A respected cultural tradition helps bring a community together and allows people to pass on and share their knowledge, so it shouldn't be taken away.","A respected cultural tradition, being necessary for fostering unity within a community, the right of people to pass down and share knowledge must not be infringed.",2,5,6,6,2,4,3,2,2,2,1,1,36,"3",1,"Choctaw","5","Choctaw since I was born. Even though I mainly speak English most in everyday life, I'm still proficient in speaking my native tongue","80% English 20% Choctaw",2,NA,3,2,4,1,2,NA,"Have a wonderful day","2026-02-21T22:18:41.874Z",1100186,"[{""p"":0,""t"":1771711223292},{""p"":1,""t"":1771711226545},{""p"":2,""t"":1771711230788},{""p"":3,""t"":1771711243539},{""p"":4,""t"":1771711263543},{""p"":5,""t"":1771711272543},{""p"":6,""t"":1771711285937},{""p"":7,""t"":1771711288066},{""p"":8,""t"":1771711290894},{""p"":9,""t"":1771711295612},{""p"":10,""t"":1771711297291},{""p"":11,""t"":1771711298304},{""p"":12,""t"":1771711306982},{""p"":13,""t"":1771711306982},{""p"":14,""t"":1771711314850},{""p"":15,""t"":1771711314850},{""p"":16,""t"":1771711316087},{""p"":17,""t"":1771711333666},{""p"":18,""t"":1771711474779},{""p"":19,""t"":1771711634814},{""p"":20,""t"":1771711696959},{""p"":21,""t"":1771711696959},{""p"":22,""t"":1771711737949},{""p"":23,""t"":1771711764946},{""p"":24,""t"":1771711815588},{""p"":25,""t"":1771711855044},{""p"":26,""t"":1771711892176},{""p"":27,""t"":1771711934115},{""p"":28,""t"":1771711935669},{""p"":29,""t"":1771712077448},{""p"":30,""t"":1771712079355},{""p"":31,""t"":1771712084883},{""p"":32,""t"":1771712087927},{""p"":33,""t"":1771712091018},{""p"":34,""t"":1771712282042},{""p"":35,""t"":1771712286316},{""p"":36,""t"":1771712293014},{""p"":37,""t"":1771712295856},{""p"":38,""t"":1771712302771},{""p"":39,""t"":1771712317681}]",1477,831,NA,NA,NA,"data_SA_E1A_607a7b7d300ce256f51706bd_SESSION_2026-02-21_17h18.41.875.csv","A respected cultural tradition","being necessary for fostering unity within a community","the right of people to pass down and share knowledge","must not be infringed","A respected cultural tradition, being necessary for fostering unity within a community, the right of people to pass down and share knowledge, must not be infringed.","The right of people to pass down and share knowledge, must not be infringed."
3,"6998be54d68d58b628b0dc10","69cca8f1097ecb0fbdfb5cfe","true","2026-04-01T05:11:29.340Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36","yes",1,"q","true","917;552;717;274;1263;13679;507;378;546;399;399;435",1672,274,2,"576;555;381;329;300;315;306;240;396;336;303;347",365,240,1,1,"3/31/2026","5563984afdf99b672b5749b6",3,"true","A correctly organized selling venue, being essential for trading goods or services, the ability of humans to sell or trade goods, cannot be taken away.","A properly organized marketplace, being necessary for economic exchange, the right of people to sell and trade goods, must not be revoked.",2,7,1,3,1,1,1,2,2,2,1,1,45,"1;6",1,"English","0","French (13, I watch French films and TV shows often and listen to French radio every day).","88",2,NA,3,2,4,1,2,NA,"Thanks for permitting me to participate vis-a-vis this project.","2026-04-01T05:51:50.413Z",2422504,"[{""p"":0,""t"":1775020289342},{""p"":1,""t"":1775020635737},{""p"":2,""t"":1775020770447},{""p"":3,""t"":1775020782200},{""p"":4,""t"":1775021658458},{""p"":5,""t"":1775021680602},{""p"":6,""t"":1775021683402},{""p"":7,""t"":1775021685010},{""p"":8,""t"":1775021691435},{""p"":9,""t"":1775021693298},{""p"":10,""t"":1775021694938},{""p"":11,""t"":1775021708146},{""p"":12,""t"":1775021721802},{""p"":13,""t"":1775021731338},{""p"":14,""t"":1775021739004},{""p"":15,""t"":1775021739004},{""p"":16,""t"":1775021746371},{""p"":17,""t"":1775021746371},{""p"":18,""t"":1775021747794},{""p"":19,""t"":1775021808834},{""p"":20,""t"":1775021927865},{""p"":21,""t"":1775022179743},{""p"":22,""t"":1775022204353},{""p"":23,""t"":1775022204353},{""p"":24,""t"":1775022214303},{""p"":25,""t"":1775022243663},{""p"":26,""t"":1775022329303},{""p"":27,""t"":1775022344752},{""p"":28,""t"":1775022406934},{""p"":29,""t"":1775022415126},{""p"":30,""t"":1775022416270},{""p"":31,""t"":1775022441174},{""p"":32,""t"":1775022442199},{""p"":33,""t"":1775022446078},{""p"":34,""t"":1775022454342},{""p"":35,""t"":1775022457502},{""p"":36,""t"":1775022656965},{""p"":37,""t"":1775022662381},{""p"":38,""t"":1775022666141},{""p"":39,""t"":1775022669533},{""p"":40,""t"":1775022675053},{""p"":41,""t"":1775022701006}]",1920,1080,NA,NA,NA,"data_SA_E1A_5563984afdf99b672b5749b6_SESSION_2026-03-31_22h51.50.413.csv","A properly organized marketplace","being necessary for economic exchange","the right of people to sell and trade goods","must not be revoked","A properly organized marketplace, being necessary for economic exchange, the right of people to sell and trade goods, must not be revoked.","The right of people to sell and trade goods, must not be revoked."
3,"6998be54d68d58b628b0dc10","69993f392e4396cc330adae4","true","2026-02-21T05:15:21.719Z","desktop","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36","yes",1,"q","true","3272;3057;4363;193889;1172;898;635;934;1999;518;886;1025",17721,518,1,"1020;713;648;503;672;1339;919;564;518;700;667;655",743,503,1,1,"2/21/2026","67d94f701307ac0887c44909",3,"true","The market are important place for selling and buying, people should not be stopped from exhanging their goods for money","A well organized marketplace, being necessary for economic exchange, the right of people to sell and trade goods must not be revoked",2,6,6,4,2,2,1,2,2,2,1,1,30,"1",1,"english","1","n/a","100",2,NA,2,2,4,1,2,"N/A","N/A","2026-02-21T05:47:53.595Z",1954225,"[{""p"":0,""t"":1771650921730},{""p"":1,""t"":1771650937536},{""p"":2,""t"":1771650959222},{""p"":3,""t"":1771650966298},{""p"":4,""t"":1771651198753},{""p"":5,""t"":1771651203723},{""p"":6,""t"":1771651216606},{""p"":7,""t"":1771651223285},{""p"":8,""t"":1771651236813},{""p"":9,""t"":1771651240703},{""p"":10,""t"":1771651243494},{""p"":11,""t"":1771651245140},{""p"":12,""t"":1771651255502},{""p"":13,""t"":1771651255502},{""p"":14,""t"":1771651262916},{""p"":15,""t"":1771651262916},{""p"":16,""t"":1771651265040},{""p"":17,""t"":1771651324482},{""p"":18,""t"":1771652063445},{""p"":19,""t"":1771652271110},{""p"":20,""t"":1771652308996},{""p"":21,""t"":1771652308996},{""p"":22,""t"":1771652338608},{""p"":23,""t"":1771652351372},{""p"":24,""t"":1771652554903},{""p"":25,""t"":1771652641373},{""p"":26,""t"":1771652674668},{""p"":27,""t"":1771652702543},{""p"":28,""t"":1771652704048},{""p"":29,""t"":1771652762198},{""p"":30,""t"":1771652764262},{""p"":31,""t"":1771652769920},{""p"":32,""t"":1771652771867},{""p"":33,""t"":1771652773879},{""p"":34,""t"":1771652834703},{""p"":35,""t"":1771652839817},{""p"":36,""t"":1771652851569},{""p"":37,""t"":1771652853840},{""p"":38,""t"":1771652864338},{""p"":39,""t"":1771652872259}]",1920,1080,NA,NA,NA,"data_SA_E1A_67d94f701307ac0887c44909_SESSION_2026-02-21_00h47.53.599.csv","A properly organized marketplace","being necessary for economic exchange","the right of people to sell and trade goods","must not be revoked","A properly organized marketplace, being necessary for economic exchange, the right of people to sell and trade goods, must not be revoked.","The right of people to sell and trade goods, must not be revoked."
